,replicon,name,group,seq_len,is_mongrel,have_contig,complete,shotgun,chromosome,img_path
0,NC_041170,"Chaetocnema pelagica mitochondrion, complete genome",Insecta,16331,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_041170.png
1,NC_061386,"Bagrus docmak voucher SUD-2018-958 mitochondrion, complete genome",Actinopteri,12946,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_061386.png
2,NC_035717,"Schismatogobius ampluvinculus voucher NSMT:P127399 mitochondrion, complete genome",Actinopteri,16639,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_035717.png
3,NC_043855,"Leiopotherapon unicolor mitochondrion, complete genome",Actinopteri,16493,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_043855.png
4,NC_011199,"Halichoeres trimaculatus mitochondrion, complete genome",Actinopteri,16621,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_011199.png
5,NC_048883,"Antodynerus aff. limbatus YN mitochondrion, complete genome",Insecta,17975,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_048883.png
6,NC_037431,"Alasmidonta heterodon mitochondrion, complete genome",Bivalvia,15909,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_037431.png
7,NC_006918,"Salanx ariakensis mitochondrion, complete genome",Actinopteri,16587,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_006918.png
8,NC_012387,"Mus musculus castaneus mitochondrion, complete genome",Mammalia,16299,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_012387.png
9,NC_037712,"Prochilodus vimboides mitochondrion, complete genome",Actinopteri,16696,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_037712.png
10,NC_008082,"Salamandrella keyserlingii mitochondrion, complete genome",Amphibia,16338,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_008082.png
11,NC_006542,"Anguilla mossambica mitochondrion, complete genome",Actinopteri,16694,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_006542.png
12,NC_002783,"Pterocnemia pennata mitochondrion, complete genome",Aves,16749,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_002783.png
13,NC_033865,"Helice latimera mitochondrion, complete genome",Malacostraca,16246,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_033865.png
14,NC_002009,"Artibeus jamaicensis mitochondrion, complete genome",Mammalia,16651,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_002009.png
15,NC_022719,"Phrynocephalus przewalskii mitochondrion, complete genome",Lepidosauria,16892,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_022719.png
16,NC_046688,"Streptocephalus cafer mitochondrion, complete genome",Branchiopoda,17020,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_046688.png
17,CM020379,"Cariama cristata isolate bCarCri1 mitochondrion, complete sequence, whole genome shotgun sequence",Aves,21618,FALSE,TRUE,TRUE,TRUE,FALSE,/db/img/CM020379.png
18,NC_010199,"Odontobutis platycephala mitochondrion, complete genome",Actinopteri,17588,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_010199.png
19,NC_013607,"Kaupichthys hyoproroides mitochondrion, complete genome",Actinopteri,16662,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_013607.png
20,NC_046907,"Epomophorus wahlbergi voucher MNHN-ZM-2011-787 mitochondrion, complete genome",Mammalia,16668,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_046907.png
21,NC_065340,"Acanthurus triostegus mitochondrion, complete genome",Actinopteri,16542,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_065340.png
22,NC_050390,"Graffilla buccinicola isolate 2_E1 mitochondrion, complete genome",Rhabditophora,14369,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_050390.png
23,NC_060386,"Desis jiaxiangi mitochondrion, complete sequence",Arachnida,14610,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_060386.png
24,NC_052809,"Pelecanoides urinatrix mitochondrion, complete genome",Aves,17077,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_052809.png
25,NC_056366,"Leptodactylus fallax mitochondrion, complete genome",Amphibia,18669,FALSE,FALSE,TRUE,FALSE,FALSE,/db/img/NC_056366.png
